{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Hamburg Hbf Gl. 5-8,de:02000:10950,"RB61,RB81,RE1,RE7,RE70,RE8,RE80,RE83",8,"Fernverkehr, Regionalverkehr",178,POINT (566703.083042 5934241.471852),EPSG:25832
Schlump U3,de:02000:84903:2:849009,U3,1,U-Bahn,481,POINT (564233.649400 5935868.025000),EPSG:25832
Sternschanze (Messe) U,de:02000:84950:1:849011,U3,1,U-Bahn,481,POINT (564188.997372 5935475.239629),EPSG:25832
Sengelmannstraße Ri. Nord U,de:02000:90900:1:909000,U1,1,U-Bahn,218,POINT (567618.478787 5940541.742209),EPSG:25832
Kellinghusenstraße U Ri. Nord,de:02000:90904:2:909014,"U1,U3",2,U-Bahn,457,POINT (565596.033898 5938230.938635),EPSG:25832
Hamburg Hbf Süd U3,de:02000:10906:2:109016,U3,1,U-Bahn,481,POINT (566846.321825 5934179.650995),EPSG:25832
Hörgensweg S,de:02000:86962,A1,1,Regionalverkehr,140,POINT (559770.357346 5941324.341144),EPSG:25832
Eidelstedt Zentrum,de:02000:83960,A1,1,Regionalverkehr,140,POINT (559629.081201 5940502.238645),EPSG:25832
Schnelsen,de:02000:86961,A1,1,Regionalverkehr,140,POINT (559946.136302 5943213.470258),EPSG:25832
Uhlandstraße U,de:02000:10900:2:109000,U3,1,U-Bahn,482,POINT (568002.096033 5935581.527805),EPSG:25832
Wartenau U,de:02000:10901:1:109002,U1,1,U-Bahn,439,POINT (568576.064356 5935586.255741),EPSG:25832
Lübecker Straße U1,de:02000:10902:3:109006,U1,1,U-Bahn,439,POINT (568147.012672 5935073.541807),EPSG:25832
Lohmühlenstraße U,de:02000:10903:1:109008,U1,1,U-Bahn,439,POINT (567525.038448 5934685.971836),EPSG:25832
"Hamburg Hbf Nord U2,U4",de:02000:10905:2:109012,"U2,U4",2,U-Bahn,690,POINT (566733.757246 5934391.769414),EPSG:25832
Hamburg Hbf Süd U1,de:02000:10906:1:109014,U1,1,U-Bahn,442,POINT (566867.535461 5934153.078156),EPSG:25832
Steinstraße U,de:02000:10907:1:109018,U1,1,U-Bahn,441,POINT (566672.167300 5933871.602000),EPSG:25832
Burgstraße U,de:02000:10908:1:109022,"U2,U4",2,U-Bahn,647,POINT (569017.851844 5934613.596572),EPSG:25832
Hammer Kirche U,de:02000:10909:1:109024,"U2,U4",2,U-Bahn,647,POINT (569898.533223 5934601.756880),EPSG:25832
Hammerbrook (City Süd) S,de:02000:10951:1:109106,"S3,S31",2,S-Bahn,421,POINT (567831.533039 5933568.548028),EPSG:25832
Berliner Tor S1 / S11,de:02000:10952:4:109108,"S1,S11,S31",3,S-Bahn,317,POINT (567883.334326 5934278.293773),EPSG:25832
Landwehr S,de:02000:10953:1:109112,"S1,S11",2,S-Bahn,298,POINT (568758.692078 5935217.412535),EPSG:25832
Rothenburgsort S,de:02000:10954:1:109116,"S2,S21",2,S-Bahn,300,POINT (569204.286097 5932670.376093),EPSG:25832
Stadthausbrücke S,de:02000:11952:1:119106,"S1,S2,S3",3,S-Bahn,531,POINT (565297.417630 5933859.966762),EPSG:25832
Hallerstraße U,de:02000:11900:1:119000,U1,1,U-Bahn,441,POINT (565492.968916 5936452.176211),EPSG:25832
Stephansplatz (Oper/CCH) U,de:02000:11901:1:119002,U1,1,U-Bahn,441,POINT (565525.516669 5934898.658538),EPSG:25832
