{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Eichbaumsee,de:02000:21085::210851,530,1,Stadtbus,32,POINT (10.104417 53.487569),EPSG:4326
Mozartstraße,de:02000:70033:1:700140,172,1,Stadtbus,224,POINT (10.023010 53.578670),EPSG:4326
BrookHus,de:02000:72063::720632,478,1,Stadtbus,20,POINT (10.140360 53.714460),EPSG:4326
U Lattenkamp (Westseite),de:0:0::0,"114,214,281,292,392",5,Stadtbus,251,POINT (9.993940 53.600460),EPSG:4326
Röntgenstraße (Weg beim Jäger),de:0:0::0,"292,392,N605",3,"Nachtbus, Stadtbus",209,POINT (10.010127 53.623748),EPSG:4326
Niendorfer Straße,de:02000:91014::910057,391,1,Stadtbus,8,POINT (9.956940 53.610480),EPSG:4326
Zeppelinstraße (Nord),de:02000:92044::920148,"292,392,N605,N606",4,"Nachtbus, Stadtbus",107,POINT (10.009189 53.627350),EPSG:4326
Billhorner Deich,de:02000:10000::100056,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (10.042488 53.534165),EPSG:4326
Hauptbahnhof/ZOB,de:02000:10002:4:100009,"120,122,124,224,M16,M18,M19,M2,M5,N608,N609,N610,X35,X80",14,"Expressbus, Metrobus, Nachtbus, Stadtbus",1225,POINT (10.010901 53.552341),EPSG:4326
U S Berliner Tor (Beim Strohhause),de:02000:10003::100011,"120,122,124,224,M2,N609,N610,X35,X80",9,"Expressbus, Metrobus, Nachtbus, Stadtbus",500,POINT (10.023541 53.553458),EPSG:4326
U S Berliner Tor (Bürgerweide),de:02000:10004::100087,"154,160,261",3,Stadtbus,169,POINT (10.025630 53.552991),EPSG:4326
Borgfelder Straße,de:02000:10005::100012,"120,122,124,224,M25,N609,N610,X35,X80",9,"Expressbus, Metrobus, Nachtbus, Stadtbus",519,POINT (10.033230 53.554640),EPSG:4326
Beim Hammer Marktplatz,de:02000:10008::100101,116,1,Stadtbus,158,POINT (10.053870 53.557130),EPSG:4326
U Hammer Kirche,de:02000:10009:1:100103,"116,130,530",3,Stadtbus,255,POINT (10.055511 53.555425),EPSG:4326
HBF/Spitalerstraße,de:02000:10011::100133,112,1,Stadtbus,209,POINT (10.005421 53.552694),EPSG:4326
Borstelmannsweg,de:02000:10012::100070,"130,530",2,Stadtbus,197,POINT (10.049687 53.550435),EPSG:4326
Diagonalstraße,de:02000:10013::100071,130,1,Stadtbus,99,POINT (10.059470 53.549300),EPSG:4326
Braune Brücke,de:02000:10014::100072,130,1,Stadtbus,99,POINT (10.061100 53.546870),EPSG:4326
Billerhuder Insel,de:02000:10015::100073,130,1,Stadtbus,99,POINT (10.058712 53.544259),EPSG:4326
Bullenhuser Damm,de:02000:10016::100074,130,1,Stadtbus,99,POINT (10.052530 53.542350),EPSG:4326
Großmannstraße,de:02000:10017::100075,130,1,Stadtbus,99,POINT (10.048314 53.541085),EPSG:4326
S Rothenburgsort,de:02000:10018::100076,"120,122,124,130,160,224,530",7,"Anruf-Sammel-Taxi, Stadtbus",440,POINT (10.042710 53.539500),EPSG:4326
Nagelsweg,de:02000:10021::100036,"M3,N602,N640,N641",4,"Metrobus, Nachtbus",262,POINT (10.022133 53.543399),EPSG:4326
U Steinstraße (Deichtorplatz),de:02000:10024::100050,"112,M2,M3,N640,N641",5,"Metrobus, Nachtbus, Stadtbus",336,POINT (10.006090 53.548820),EPSG:4326
Billhorner Mühlenweg,de:02000:10025::100053,"119,M3,N602",3,"Metrobus, Nachtbus, Stadtbus",326,POINT (10.034480 53.536700),EPSG:4326
Rothenburgsorter Marktplatz,de:02000:10026::100054,"119,M3,N602",3,"Metrobus, Nachtbus, Stadtbus",326,POINT (10.038800 53.534550),EPSG:4326
Thiedingreihe,de:02000:10027::100055,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (10.046020 53.533670),EPSG:4326
Zollvereinsstraße,de:02000:10028::100060,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (10.051340 53.532510),EPSG:4326
Rothenburgstraße,de:02000:10029::100061,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (10.057270 53.531380),EPSG:4326
S Tiefstack,de:02000:10030::100111,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (10.064510 53.530590),EPSG:4326
Billstraße,de:02000:10031::100166,154,1,Stadtbus,115,POINT (10.033391 53.541645),EPSG:4326
Grüne Brücke,de:02000:10032::100183,"120,122,124,160,224,530",6,Stadtbus,346,POINT (10.040170 53.544200),EPSG:4326
Billstraße 133,de:02000:10033::100184,160,1,Stadtbus,110,POINT (10.047842 53.538881),EPSG:4326
Billstraße 185,de:02000:10034::100185,160,1,Stadtbus,110,POINT (10.051492 53.537833),EPSG:4326
Billstraße (Mitte),de:02000:10035::100186,160,1,Stadtbus,110,POINT (10.057193 53.536191),EPSG:4326
Gustav-Kunst-Straße,de:02000:10036::100187,160,1,Stadtbus,110,POINT (10.058909 53.537747),EPSG:4326
Sachsenstraße,de:02000:10037::100176,M25,1,Metrobus,63,POINT (10.027414 53.546409),EPSG:4326
S Hammerbrook (Süd),de:02000:10038::100206,"112,M25",2,"Metrobus, Stadtbus",334,POINT (10.024870 53.545360),EPSG:4326
Süderstraße,de:02000:10039::100164,"112,154,160,M25",4,"Metrobus, Stadtbus",454,POINT (10.030555 53.545322),EPSG:4326
Ausschläger Weg (Verkehrsamt),de:02000:10040::100181,"112,120,122,124,154,160,224,M25",8,"Metrobus, Stadtbus",583,POINT (10.038420 53.547490),EPSG:4326
Luisenweg,de:02000:10041::100195,112,1,Stadtbus,208,POINT (10.045770 53.548270),EPSG:4326
Schadesweg,de:02000:10042::100196,112,1,Stadtbus,208,POINT (10.051960 53.547660),EPSG:4326
Wendenstraße (Mitte),de:02000:10043,"120,122,124,160,224,M25",6,"Metrobus, Stadtbus",375,POINT (10.036450 53.550030),EPSG:4326
Wendenstraße,de:02000:10044:2:100163,"154,160",2,Stadtbus,232,POINT (10.028608 53.547814),EPSG:4326
Jungestraße,de:02000:10045::100015,261,1,Stadtbus,55,POINT (10.027443 53.556254),EPSG:4326
Carl-Petersen-Straße,de:02000:10046::100154,"261,M25",2,"Metrobus, Stadtbus",350,POINT (10.038862 53.559325),EPSG:4326
S Landwehr (Ramazan-Avci-Platz),de:02000:10047::100152,M25,1,Metrobus,239,POINT (10.037249 53.561258),EPSG:4326
U Lübecker Straße,de:02000:10048::100141,"530,M16,N608",3,"Metrobus, Nachtbus, Stadtbus",267,POINT (10.026660 53.559175),EPSG:4326
U Lohmühlenstraße,de:02000:10049::100137,"M16,N608",2,"Metrobus, Nachtbus",219,POINT (10.020287 53.557172),EPSG:4326
Böckmannstraße,de:02000:10050::100138,"M16,N608",2,"Metrobus, Nachtbus",219,POINT (10.015201 53.554855),EPSG:4326
HBF/Kirchenallee,de:02000:10051::100142,"M17,M18,M6,N606,N607",5,"Metrobus, Nachtbus",696,POINT (10.008613 53.552852),EPSG:4326
Gurlittstraße,de:02000:10052::100143,"M17,M18,M6,N606,N607",5,"Metrobus, Nachtbus",696,POINT (10.011180 53.557360),EPSG:4326
AK St.Georg,de:02000:10053::100144,"M17,M18,M6,N606,N607",5,"Metrobus, Nachtbus",696,POINT (10.014461 53.559779),EPSG:4326
Graumannsweg,de:02000:10054::100145,"M17,M18,M6,N606,N607",5,"Metrobus, Nachtbus",696,POINT (10.017710 53.562890),EPSG:4326
Normannenweg,de:02000:10055::100171,"120,122,124,224,M25",5,"Metrobus, Stadtbus",263,POINT (10.035080 53.551820),EPSG:4326
Osterbrookplatz,de:02000:10056::100017,112,1,Stadtbus,102,POINT (10.058140 53.547080),EPSG:4326
Repsoldstraße,de:02000:10057::100020,112,1,Stadtbus,106,POINT (10.015019 53.548275),EPSG:4326
Albertstraße,de:02000:10058::100026,112,1,Stadtbus,208,POINT (10.019789 53.549104),EPSG:4326
Alfredstraße,de:02000:10059::100155,261,1,Stadtbus,111,POINT (10.031846 53.557267),EPSG:4326
S Hammerbrook (Nord),de:02000:10060::100030,112,1,Stadtbus,208,POINT (10.023081 53.547632),EPSG:4326
Ausschläger Allee (Kfz-Verwahrstelle),de:02000:10062::100622,"119,120,122,124,224,M3,N602",7,"Metrobus, Nachtbus, Stadtbus",466,POINT (10.061763 53.530877),EPSG:4326
Jakobikirchhof,de:02000:10064::100611,"M16,M17,M6,X35,X80",5,"Expressbus, Metrobus",882,POINT (10.000220 53.550010),EPSG:4326
Stoeckhardtstraße,de:02000:10067::100673,530,1,Stadtbus,96,POINT (10.049617 53.557802),EPSG:4326
Griesstraße,de:02000:10068::100682,530,1,Stadtbus,96,POINT (10.047123 53.562370),EPSG:4326
Hirschgraben,de:02000:10069::100692,530,1,Stadtbus,96,POINT (10.044492 53.563863),EPSG:4326
Marienkrankenhaus,de:02000:10070::100702,530,1,Stadtbus,96,POINT (10.034996 53.561002),EPSG:4326
