{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Ernst-August-Schleuse (Schiff),de:02000:39341::9539341,73,1,Fähre,33,POINT (565090.413431 5931031.172500),EPSG:25832
Finkenwerder (Schiff),de:02000:51980::519304,"62,64",2,Fähre,113,POINT (558246.240067 5932309.995035),EPSG:25832
Rüschpark (Schiff),de:02000:51981::519811,"62,64",2,Fähre,87,POINT (557208.639875 5932865.184043),EPSG:25832
Sperrwerk Neuenfelde (Schiff),de:02000:51982,HBEL,1,Fähre,28,POINT (552387.144653 5932200.950666),EPSG:25832
Cranz (Schiff),de:02000:51983::519311,HBEL,1,Fähre,14,POINT (551667.292683 5932041.560089),EPSG:25832
AIRBUS (Schiffsanleger),de:02000:51984::519312,"62,68",2,Fähre,77,POINT (555719.409187 5933205.599056),EPSG:25832
Köhlbrandhöft (nur Angehörige),de:02000:52979::529791,61,1,Fähre,9,POINT (561944.050829 5932711.674731),EPSG:25832
Waltershof,de:02000:52981,61,1,Fähre,26,POINT (562128.415187 5931154.005739),EPSG:25832
Argentinienbrücke (Schiff),de:02000:53986::539341,73,1,Fähre,66,POINT (564701.606187 5931471.125134),EPSG:25832
Steinwerder (Schiff),de:02000:53988::539346,75,1,Fähre,25,POINT (564048.450901 5932792.525691),EPSG:25832
Arningstraße (Schiff),de:02000:53989::539344,72,1,Fähre,55,POINT (565290.308104 5932462.144467),EPSG:25832
Neuhof (Schiff),de:02000:53990,61,1,Fähre,13,POINT (562367.079522 5930991.670707),EPSG:25832
Theater im Hafen,de:02000:53992::539366,73,1,Fähre,66,POINT (564571.108873 5932865.251240),EPSG:25832
Elbphilharmonie (Schiff),de:02000:80932::809329,72,1,Fähre,55,POINT (565365.545070 5932832.960282),EPSG:25832
Teufelsbrück (Schiff),de:02000:80981::809303,"62,64,68",3,Fähre,122,POINT (557156.433743 5933412.543843),EPSG:25832
Landungsbrücken Brücke 3,de:02000:80982::809306,62,1,Fähre,69,POINT (564258.285973 5933348.480280),EPSG:25832
Landungsbrücken Brücke 2,de:02000:80983::809309,"61,68,75",3,Fähre,38,POINT (564312.843575 5933337.069977),EPSG:25832
Landungsbrücken Brücke 1,de:02000:80984::809311,"62,72,73",3,Fähre,88,POINT (564334.183620 5933327.014740),EPSG:25832
Blankenese (Schiff),de:02000:81980::819300,HBEL,1,Fähre,15,POINT (553308.826099 5934423.841401),EPSG:25832
Bubendey-Ufer,de:02000:52980::529304,"62,68",2,Fähre,139,POINT (558670.470477 5932729.291189),EPSG:25832
Neumühlen (Schiff),de:02000:52982::529312,"62,68",2,Fähre,139,POINT (560612.130525 5933125.906185),EPSG:25832
Altona (Fischmarkt),de:02000:80980::809300,"61,62,68",3,Fähre,165,POINT (563095.350003 5933211.336881),EPSG:25832
Dockland (Fischereihafen),de:02000:80989::819891,"61,62,68",3,Fähre,165,POINT (561990.335377 5933087.198734),EPSG:25832
